SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
13884,912,"???????? 
Rasakaumudi",,Vaidya,PL,Knn,32x5,62 Leaf,65,8,65,Inc,G/O,
13885,912,"???????? ?????? 
Basaveshvara kalyana",-,Kavya,P,Knn,20X17,1&157,25,11,25,C,G/O,zsÁvÀÄ £ÁªÀÄ¸ÀAªÀvÀìgÀ C²éÃd §.5 ¨sÁ£ÀÄªÁgÀ gÉÆÃ»tÂ £ÀPÀëvÀæ. °¦PÁgÀ&ZÉ£ÀßtÚ
13886,913,"????? ????????
Vaidya chimtamani",??????????????,Vaidya,PL,Knn,22x6,17&143,40,11,40,Inc,D/W,"zÁ¤: ªÉÊ D£ÀAzÀgÁªï, §d¥É"
13887,913,"??????? 
Mahabharata",??????,Kavya,P,Knn,18X25,1&145,20,18,20,Inc,G,"«¨sÀªÀ ¸ÀA.PÁwðPÀ ±ÀÄzÀÞ 6 gÀ°è, °¦PÁgÀ & dWÀAV gÁªÀÄ"
13888,914,"???????
Mahabharata",????????,Kavya,PL,Knn,39x6,1&259,60,9,60,Inc,G,
13889,914,"????????? ??? 
Kumararamana kath",-,Kavya,P,Knn,21X33,1&139,25,27,25,C,G,
13890,915,"??? ????? ??? ??????
Sakala vaidya sara samgraha",?????????,Vaidya,PL,Knn,31x5,1&112,50,7,50,C,D/W,
13891,915,"??????? ???????
Nanartha ratnakara",-,Nighantu,P,Knn,15X20,1&37,20,19,20,C,,"²æÃ ªÀÄÄzÉÝÃUËqÀ & ªÀiÁ° ¥ÁnÃ¯ï, PÉÃ¸ÀgÀºÀnÖ vÁ. UÀAUÁªÀw, f.PÉÆ¥Àà¼À, gÁAiÀÄZÀÆgÀÄ"
13892,916,"??? ???????? ?????
Roga chikitsa nidhana",,Vaidya,PL,Knn,31x5,27&203,70,9,70,Inc,O/D/W,
13893,916,"??????????????
Namalimganushasana",???????,Nighantu,P,Knn,17X22,1&47,30,28,30,C,,
13894,917,"??????? ????????
Balagraha chikits",,Vaidya,PL,Knn,27x3,1&65,45,5,45,C,G,
13895,917/1,"?????? ??????
Hadugala samgraha",-,Haadu,P,Knn,16X20,25,20,13,20,Inc,,
13896,917/2,"??????? ??????
Nanartha nighamtu",-,Nighantu,P,Knn,16X20,27,20,13,20,Inc,,
13897,917/3,"????? ????
Lavani hadu",-,Nighantu,P,Knn,16X20,8,20,13,20,Inc,,
13898,918,"???????? ???????? – ???
Rogalakshana chikits – jaina",,Vaidya,PL,Knn,33x5,1&302,45,7,45,Inc,O/D,
13899,918,"??????? ???? 
Banasura kalaga",-,Yakshagana,P,Knn,16X20,100,22,13,22,,,
13900,919,"????????? – ???
Vaidyamrrita – jaina",,Vaidya,PL,Knn,23x5,1&39,30,6,30,Inc,O,
13901,920,"?????? ????
Ambika vijaya",-,Yakshagana,P,Knn,33x10,1&216,50,12,50,C,,
13902,920/1,"????????? – ???
Nadilakshana – jaina",,Vaidya,PL,Knn,20x4.5,1&28,35,6,35,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13903,920/2,"???????? – ???
Kalajnana – jaina",,Jyotisha,PL,Knn,20x4.5,29&40,35,6,35,C,G,PÀAzÀ ¥ÀzÀå
13904,921,"?? ????? 
Nala charit",-,Yakshagana,P,Knn,32x10,1&10,50,10,50,Inc,,
13905,921/1,"????? ??????
Vaidya samgraha",,Vaidya,PL,Knn,21x3.5,1&9,40,5,40,C,G,
13906,922,"???? ??? ?????? – ???
Ganita sara samgraha – jaina",????????????,Ganita,PL,Knn,35x5,1&52,60,10,60,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13907,922,"??????????? ???? 
Brahmasukta bhasha",??????????,,P,Knn,30x12,1&19,50,14,50,C,,
13908,923,"?????? ?????
Ghanamulada lkka",,Ganita,PL,Knn,25x6,20&22,65,11,65,Inc,G/O,
13909,923,"??????? ??
Samvatsara fala",,,P,Knn,30x14,34,15,15,15,Inc,,
13910,924,"?????? ??????
Lkkada pustaka",,Ganita,PL,Knn,32x4,3 Leaf,60,6,60,Inc,O,
13911,925/1,"????????? ????? ???? – ???
Rajaditya sutra ganita – jaina",,Ganita,PL,Knn,26x5,1&33,40,10,40,C,D/W,
13912,925/2,"???????? ??? – ???
Chamdranatha shataka – jaina",,Niti shataka,PL,Knn,,1&15,40,10,40,Inc,O,
13913,925/3,"????? ?????? - ???
Dhanamjaya nighamtu - jaina",?????,Nighantu,PL,Knn,26x5,7,40,10,40,Inc,D,
13914,925/4,"???????? ????
Jinakshara mal",,Extra,PL,Knn,26x5,1&3,40,10,40,Inc,O,
13915,925/5,"??????????? ????? - ???
Svargavatarana padagalu - jaina",,Kavya,PL,Knn,26x5,28&34,40,10,40,Inc,O,
13916,926,"??????????
Samkhyaganita",,Ganita,PL,Knn,15x5,146&201,25,8,25,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13917,927,"??????? ??? ?????????
Chamdrabala pala jyotishya",,Jyotisha,PL,Knn,19x4.5,1&42,30,6,30,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13918,927,"?????????
Falajyotisha",,Jyotisha,PL,Knn,19x4.5,1&42,30,6,30,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ZÀAzÀæ©®
13919,928,"???? ??
Rashi fala",,Jyotisha,PL,Knn,29x3.5,2&29,45,5,45,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ C½gÀÄ §¹Û ¥ÀÆªÀÄäAiÀÄå EAzÀæ UÀæAxÀ
13920,928,"??????
Rashifala",,Jyotisha,PL,Knn,29x3.5,2&29,45,5,45,Inc,D/W,C½gÀÄ §¹Û ¥ÀÆªÀAiÀÄå EAzÀæ
13921,929,"???? ???? ??
Graha chakra fala",,Jyotisha,PL,Knn,15x5,10 Leaf,27,8,27,Inc,O/D,
13922,929,"??????????
Grahachakrafala",,Jyotisha,PL,Knn,15x5,10,27,8,27,Inc,O/D,
13923,930,"???????? ?????? – ???
Yantradi taragama – jaina",,Tantra-mantra-agama,PL,Knn,16x4,16 & Leaf,20,7,20,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13924,931/1,"???? ?????? - ??????
Gauri pamchanga - virashaiva",,Jyotisha,PL,Knn,23x3.5,1&3,35,5,35,Inc,G,
13925,931/1,"?????????? – ??????
Gauripamchanga – virashaiva",,Jyotisha,PL,Knn,23x3.5,1&3,35,5,35,Inc,G,
13926,931/2,"??????????? – ??????
Mamtrasangraha – virashaiva",,Tantra-mantra-agama,PL,Knn,23x3.5,6& Leaf,35,5,35,Inc,O,
13927,932,"???? ???????
Janma patrika",,Jyotisha,PL,Knn,21x3,9 Leaf,50,7,50,C,G,±ÀPÀ 1771&1849 ²ªÀ°AUÀ G¥ÁzÁåAiÀÄgÀ ZÀvÀÄxÀð ¥ÀÄvÀæ
13928,932,"???????????
Janmapatrika",,Jyotisha,PL,Knn,21x3,9 Leaf,50,7,50,C,G,±ÀPÀ 1771 ²ªÀ°AUÀ G¥ÁzsÁåAiÀÄgÀ ZÀvÀÄxÀð ¥ÀÄvÀæ&d£Àä¥ÀwæPÁ ¯ÉÃR£À
13929,933/1,"??????? ????????  – ???? - ??????
Prashna chimtamani  – tik - virashaiva",,Jyotisha,PL,Knn,11x4,1&21,20,7,20,Inc,O,PÉÆ£ÉAiÀÄ ¥ÀvÀæ £ÀµÀÖªÁVzÉ.
13930,933/2,"??????? ????? ???? - ??????
Nakshatra noduva vivara - virashaiva",,Jyotisha,PL,Knn,11x4,1&51,20,7,20,Inc,D,
13931,934,"??????????? – ???
Horashastram – jaina",????????,Jyotisha,PL,Knn,28x5,1&23,55,8,55,Inc,G,
13932,935,"??????? ??????
Nakshatra nirnaya",,Jyotisha,PL,Knn,15x5,1&27,30,8,30,C,G,
13933,936/1,"?????????
Abdikalpa",,Jyotisha,PL,Knn,36x3,1&40,75,5,75,Inc,G,
13934,936/2,"??????? ??????
Nakshatra nighamtu",,Jyotisha,PL,Knn,36x3,1&65,75,5,75,Inc,O,
13935,937,"?????? ??
Navagraha fala",,Jyotisha,PL,Knn,15x5.5,1&29,25,8,25,Inc,G,
13936,937,"?????? ??
Navagraha fala",,Jyotisha,PL,Knn,15x5.5,1&29,25,8,25,Inc,G,
13937,938/1,"??????? ????????
Nimitta shastram",,Jyotisha,PL,Knn,11x5,3 Leaf,20,6,20,Inc,G,°¦PÁgÀ : ªÀÄ¯ÉèÃUËqÀ
13938,938/1,"???????????????
Nimittashastram",,Jyotisha,PL,Knn,11x5,3 Leaf,20,6,20,Inc,G,°¦PÁgÀ; ªÀÄ¯ÉèUËqÀ
13939,938/2,"?????? ??
Navagraha fala",,Jyotisha,PL,Knn,11x5,3 Leaf,20,6,20,Inc,G,
13940,938/3,"????? ??????? ??
Palli nimitta fala",,Jyotisha,PL,Knn,11x5,1&22,20,6,20,Inc,G,
13941,939,"???????
Grahakuta",,Jyotisha,PL,Knn,15.5x5,5 Leaf,25,8,25,Inc,O,
13942,940/1,"?????? – ???
Panchanga – jaina",,Jyotisha,PL,Knn,33x4,1&3,55,8,55,Inc,D/W,
13943,940/1,"?????? – ???
Pamchanga – jaina",,Nighantu,PL,Knn,33x4,1&3,55,8,55,Inc,D/W,
13944,940/2,"?????? – ???
Udayaraga – jaina",,Haadu,PL,Knn,33x4,12&14,55,8,55,Inc,G,
13945,941/1,"??????? ???? - ???
Nanartha shabda - jaina",,Nighantu,PL,Knn,21x5,1&4,30,9,30,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13946,941/1,"??????? ???? – ???
Nanartha shabda – jaina",,Nighantu,PL,Knn,21x5,1&4,30,9,30,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13947,941/2,"???????? ?????? – ???
Dashakutadi samgraha – jaina",,Jyotisha,PL,Knn,21x5,51&84,30,9,30,Inc,D/W,
13948,941/3,"??? ??????? ???????
Bala sugriva prashn",,Jyotisha,PL,Knn,21x5,85&90,30,9,30,C,D/W,
13949,941/4,"??????? ???????
Sugriva prashn",,Jyotisha,PL,Knn,21x5,91&98,30,9,30,C,D/W,
13950,941/5,"??????? ????
Nakshatra tilaka",,Jyotisha,PL,Knn,21x5,99&110,30,9,30,Inc,D/W,
13951,941/6,"???? ????
Rashi tilaka",,Jyotisha,PL,Knn,21x5,12 Leaf,30,9,30,Inc,D/W,
13952,941/7,"?????? ??????
Pamchanga samgraha",,Jyotisha,PL,Knn,21x5,10 Leaf,30,9,30,Inc,D/W,
13953,942,"???? ???????
Janma patrika",,Jyotisha,PL,Knn,16x4,1&11,20,5,20,C,G,¨sÁµÉ : ¸ÀA¸ÀÌøvÀ 1807 ¥ÁyðªÀ £ÁªÀÄ ¸ÀA.
13954,943,"??????? ????? – ???? – ???
Muhurta darpana – tik – jaina",,Jyotisha,PL,Knn,36x5,1&63,75,8,75,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13955,944,"????? ???? ?????
Purana shakuna lakshana",,Jyotisha,PL,Knn,37x6,1&23,60,9,60,Inc,G,
13956,945,"?????????? - ??????
Mamtragopya - virashaiva",????????,Kavya,PL,Knn,25x5,7 Leaf,80,18,80,Inc,O,
13957,946/1,"??? ???????? ????? ???  – ???
Roga harashtami nompi kath  – jaina",,Kathe,PL,Knn,24x5,1&5,50,8,50,C,G,
13958,946/2,"???????????? ????? ??? – ???
Tribhuvanatilaka nompi kath – jaina",,Kathe,PL,Knn,24x5,5&1&7,50,8,50,C,G,
13959,946/3,"??????? ????? ????? ??? –???
Parishva tadig nompi kath –jaina",,Kathe,PL,Knn,24x5,8&10,50,8,50,C,G,
13960,946/4,"???? ????? ??? – ???  
Gauri nompi kath – jaina  ",,Kathe,PL,Knn,24x5,10&12,50,8,50,C,G,
13961,946/5,"???????????? ???? - ???
Prayashchitta vidhi - jaina",,Prayoga,PL,Knn,24x5,13&18,50,8,50,C,G,
13962,946/6,"????? ????? ??
Palli nudida fala",,Jyotisha,PL,Knn,24x5,18,50,8,50,Inc,G,
13963,946/6,"????? ????? ??
Palli nudida fala",,Jyotisha,PL,Knn,24x5,18 Leaf,50,8,50,Inc,G,
13964,947,"?????? ????????
Navagraha chimtamani",,Jyotisha,PL,Knn,20x4,1&110,35,6,35,C,G,°¦PÁgÀ: F±ÀégÀAiÀÄå
13965,948,"???? ????????  – ???
Svara chimtamani  – jaina",,Jyotisha,PL,Knn,35.5x4,28 Leaf,80,7,80,Inc,D/W,±ÀPÀÄ£À ±Á¸ÀÛç
13966,948,"???????????? – ???
Svarachimtamani – jaina",,Jyotisha,PL,Knn,35.5x4,28 Leaf,80,7,80,Inc,D/W,
13967,949,"??? ????????
Rama chimtamani",,Jyotisha,PL,Knn,9x4,1&32,10,7,10,C,O/D,¸ÁUÀgÀ
13968,950,"????????  – ???
Chintamani  – jaina",,Jyotisha,PL,Knn,12.5x5,1&109,30,11,30,Inc,G/O,
13969,950,"???????? - ???
Chimtamani - jaina",,Jyotisha,PL,Knn,12.5x5,1&109,30,11,30,Inc,G/O,
13970,951,"??????? ????????
Prashna chimtamani",,Jyotisha,PL,Knn,16x3,6&101,20,5,20,Inc,G,
13971,951,"??????? ????????
Prashna chimtamani",,Jyotisha,PL,Knn,16x3,6&101,20,5,20,Inc,G,
13972,952,"??????? ????????
Prashna chimtamani",,Jyotisha,PL,Knn,19x3.5,15 Leaf,20,5,20,Inc,D/W,
13973,952,"??????? ?????????
Prashna jyotishya",,Jyotisha,PL,Knn,19x3.5,15 Leaf,20,5,20,Inc,D/W,
13974,953,"?????? ????????
Navaratna chimtamani",,Jyotisha,PL,Knn,25x5,1&105,25,9,25,Inc,D/W,
13975,953,"??????????????
Navaratnachintamani",,Jyotisha,PL,Knn,25x5,1&105,25,9,25,Inc,D/W,
13976,954,"???????????? – ??????
Svarachimtamani – virashaiva",,Jyotisha,PL,Knn,25x5,7&14,50,11,50,Inc,O/D,
13977,955/1,"???????? ??????? – ???
Siddhamta prashn – jaina",,Jyotisha,PL,Knn,19x5,1 Leaf,35,7,35,Inc,D/W,
13978,955/2,"????? ??????? – ???
Akalamka stotra – jaina",?????,Stotra,PL,Knn,19x5,18&Leaf,35,7,35,C,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13979,955/3,"????? ?????
Adharan shloka",,Extra,PL,Knn,19x5,3,35,7,35,Inc,D/W,
13980,955/4,"????????? ????? – ???
Nagarjuna yamtra – jaina",???????,Tantra-mantra-agama,PL,Knn,19x5,17& Leaf,35,7,35,Inc,D/W,
13981,956/1,"?????? ????????
Navaratna chimtamani",,Jyotisha,PL,Knn,15.5x5,1&108,25,10,25,Inc,O,
13982,956/3,"??????? ??? - ??????
Virabhadra vadabha - virashaiva",,Extra,PL,Knn,15.5x5,63&70,25,10,25,Inc,O,
13983,957,"??????? ????????
Prashna chimtamani",,Jyotisha,PL,Knn,19.5x5,81&93,25,9,25,Inc,G,
13984,957,"??????? ????????
Prashna chimtamani",,Jyotisha,PL,Knn,19.5x5,81&93,25,9,25,Inc,G,
13985,958,"?????? ????????
Navaratna chimtamani",,Jyotisha,PL,Knn,13x5,1&113,35,9,35,C,O/D,
13986,959/1,"?????????? ??
Namdikeshvara matha",,Extra,PL,Knn,16x3,1&34,30,6,30,C,D,
13987,959/2,"?????? ????????
Navagraha chimtamani",,Jyotisha,PL,Knn,16x3,35&41,30,6,30,Inc,D,
13988,960,"??????? ???????? – ?????? 
Prashna chimtamani – virashaiva",,Jyotisha,PL,Knn,14.5x3,1&51,20,4,20,C,G,
13989,961,"????? ??????
Vaidya samgraha",,Vaidya,PL,Knn,23x3,1&70,40,5,40,Inc,O,
13990,962,"??????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,19x5,1&40,35,9,35,Inc,D,
13991,963,"??? ???? ????
Deva puja vidhi",,Pooja,PL,Knn,27x5,10 Leaf,55,5,55,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13992,964,"??????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,25x5,1&43,35,9,35,Inc,G,
13993,965/1,"????????? ?????????? ???? - ??????????
Pamchabrahma murtidevara puj - purushasukta",,Tantra-mantra-agama,PL,Knn,36.5x4.5,1&12,65,7,65,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13994,965/2,"??????? ??
Samvatsara fala",,Jyotisha,PL,Knn,36.5x4.5,15,65,7,65,C,G,
13995,965/3,"??? ???????
Nadi stotra",,Stotra,PL,Knn,36.5x4.5,2&Leaf,65,7,65,Inc,G,
13996,966,"??????????????
Namalinganushasana",???????,Nighantu,PL,Knn,31x5,12&65,70,7,70,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13997,967/1,"?????????????? - ???
Pranapratishth - jaina",,Tantra-mantra-agama,PL,Knn,33x4.5,1&5,55,6,55,C,O,
13998,967/2,"?????????? ???????- ???
Parishvanatha stotra- jaina",,Stotra,PL,Knn,33x4.5,5&1&8,55,6,55,C,D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
13999,967/3,"?????????? ???? – ???
Parshvanatha puj – jaina",,Pooja,PL,Knn,33x4.5,9&77,55,6,55,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14000,967/4,"????????  –  ???
Shamtihoma  –  jaina",,Tantra-mantra-agama,PL,Knn,33*4.5,78&126,55,6,55,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14001,968,"???????
Mahabharata",??????????,Kavya,PL,Knn,49x4.5,41 Leaf,90,6,90,Inc,D/W,
14002,969,"??????
Ramayana",,Kavya,PL,Knn,50x6,1&217,105,10,105,Inc,G,"¨sÁµÉ: ¸ÀA¸ÀÌøvÀ AiÀÄÄzÀÞPÁAqÀ, GvÀÛgÀPÁAqÀ"
14003,970,"??????
Ramayana",,Kavya,PL,Knn,51x6,1&280,120,10,120,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14004,971,"??????
Ramayana",????? ????????,Kavya,PL,Knn,58x6,4&213,110,10,110,Inc,D/W,
14005,972,"???????????????
Dharmasharmabhyudaya",?????????? ????,Kavya,PL,Knn,52x4,49 Leaf,115,8,115,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14006,973/1,"???????? ?????? – ???
Siddhaguna stuti – jaina",,Stotra,PL,Knn,52x5,2&10,100,9,100,Inc,D/W,
14007,973/2,"?????????? ???????? – ???
Svapnavali suprabhata – jaina",,Extra,PL,Knn,52x5,11&13,100,9,100,C,D,
14008,973/3,"????? ????? - ???
Dashavidha bhakti - jaina",,Siddanta,PL,Knn,52x5,14&21,100,9,100,C,D/W,
14009,973/4,"????????????????? - ???
Dvadashanupreksh - jaina",???????,Siddanta,PL,Knn,52x5,22&22&1,100,9,100,C,D/W,
14010,973/5,"????????????? ????? - ???
Tatvarthadhigama sutra - jaina",,Siddanta,PL,Knn,52x5,23,100,9,100,Inc,D/W,
14011,973/6,"??????????
Siddhalakshana",,Siddanta,PL,Knn,52x5,29&36,100,9,100,Inc,D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14012,973/7,"?????????? – ???
Japyamamtra – jaina",,Tantra-mantra-agama,PL,Knn,52x5,35&39,100,9,100,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14013,974,"???? ????? ????? - ???
Nemi jinesha samgati - jaina",?????,Kavya,PL,Knn,29x5.5,136&196,60,11,60,Inc,D/W,
14014,975,"????????? ????? ????????
Trishashti lakshana mahapurana",????????????,Kavya,PL,Knn,36x5,3&47,70,8,70,Inc,G,
14015,976/1,"???????? ????? ??? – ???
Ratnatraya nompi kath – jaina",?????,Kathe,PL,Knn,36x5,2&8,70,8,70,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14016,976/2,"????? - ???
Jayamala - jaina",,Kavya,PL,Knn,36x5,8&36,70,8,70,Inc,D/W,
14017,976/3,"??????????? ? ????? – ???
Pranamyasalla o vidhana – jaina",,Kathe,PL,Knn,36x5,36&45,70,8,70,Inc,D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14018,977/1,"????????????
Jyotisharnava",,Jyotisha,PL,Knn,32x6,1&74,30,9,30,C,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14019,977/2,"????? ?????
Aupasana mamtra",,Prayoga,PL,Knn,32x6,4 Leaf,30,9,30,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14020,978,"???? ????????
Janapada samuddesha",,Niti shataka,PL,Knn,,19,70,7,70,Inc,D/W,
14021,979,"????????
Kashikanda",,Puraana,PL,Knn,28x5.5,2&45,50,9,50,Inc,G,¸ÁÌAzÀ¥ÀÄgÁt
14022,980,"???????÷???????? - ???
Samyakta÷vakaumudi - jaina",,Vyakarana,PL,Knn,26x5,8 Leaf,45,8,45,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14023,981,"?????????? ?? ????? - ???
Pamchanamaskara japa nompi - jaina",,Kathe,PL,Knn,28x4,D&¸À,45,6,45,Inc,D/W,
14024,982/1,"???????? ??? - ??????
Bagalamukhi shataka - virashaiva",??????? ?????,Niti shataka,PL,Knn,,2&9,50,8,50,C,G,
14025,982/2,"?????????? ???????
Imdrakshi stotra",,Stotra,PL,Knn,28x5,10&15,50,8,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14026,982/3,"?????? ???? ???????
Aditya hrridaya stotra",,Stotra,PL,Knn,28x5,15&1&18,50,8,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14027,982/4,"?????????????????
Nityakarmaratnavali",,Kavya,PL,Knn,28x5,19&36,50,8,50,C,G,1&150 ¥ÀzÀå
14028,982/5,"???????
Shivagit",,Geete,PL,Knn,28x5,37&108,50,8,50,C,G,¦AUÀ¼À ¸ÀA. D²éd §. 11 °¦PÁgÀ: £ÉgÀAQ ¨É¼À®ªÀÄ£É ¸ÀÄ¨ÁæAiÀÄ
14029,982/6,"???? ???????? ???????
Gamga sahasranama stotra",,Stotra,PL,Knn,28x5,109&130,50,8,50,C,G,¸ÀÌAzÀ ¥ÀÄgÁt¢AzÀ
14030,983,"????? ??????
Vaidya samgraha",,Vaidya,PL,Knn,27x4.5,63 Leaf,45,9,45,Inc,D/W,eÉÆåÃwµÀå & CµÀÖPÀ
14031,984,"??????
Ramayana",????????,Kavya,PL,Knn,27x5,1&144,35,8,35,Inc,G,¸ÀÄAzÀgÀPÁAqÀ
14032,985,"???????????? ???????????? – ???
Suktisamgraha subhashitarnava – jaina",,Niti shataka,PL,Knn,,1&116,40,8,40,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14033,986/1,"??????
Panchanga",,Jyotisha,PL,Knn,25x5,1&5,50,10,50,C,O,
14034,986/2,"?????
Maggi",,Ganita,PL,Knn,25x5,5&1&33,50,10,50,C,G,
14035,987,"????? ??????
Vaidya samgraha",,Vaidya,PL,Knn,25x5,8&22,70,9,70,Inc,D,£ÀAiÀÄ£À aQvÉì EvÁå¢
14036,988,"??????
Ramayana",????????? ??????,Kavya,PL,Knn,29x5,23 Leaf,75,11,75,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14037,989,"?????????????? - ???
Chamdraprabhakavya - jaina",???????,Kavya,PL,Knn,26x4.5,42 Leaf,45,7,45,Inc,O/D,
14038,990,"??????
Gunapatha",,Vaidya,PL,Knn,29x3,1&82,40,4,40,C,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14039,991,"?????????
Rasaratnakara",???????? ??????,Vaidya,PL,Knn,23x4,158&220,35,6,35,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14040,992,"??????????????
Namalinganushasana",???????,Nighantu,PL,Knn,24x6,17&66,35,9,35,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14041,993,"??????? ????? - ???
Suvichara charit - jaina",?????????,Kavya,PL,Knn,22x4.5,16,35,7,35,Inc,D/W,±ÀPÀªÀµÀð 4887 ¥ÀgÁ¨sÀªÀ ¸ÀA. ¥Á®ÄÎt ±ÀÄ. 15 ¢ªÀ¸À. (¸ÁAUÀvÀå)
14042,994,"????? ?????? - ???
Dhanamjaya nighamtu - jaina",?????,Nighantu,PL,Knn,22x5.5,3&18,35,8,35,Inc,D/W,
14043,995/1,"????? ?????? - ???
Dhanamjaya nighamtu - jaina",?????,Nighantu,PL,Knn,21x4,14,25,6,25,Inc,O/D/W,
14044,995/2,"??????? ??????????? – ???
Kalikumda yamtraradhan – jaina",,Tantra-mantra-agama,PL,Knn,,15& Leaf,25,6,25,Inc,D/W,
14045,996/1,"?????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,23x4,1&90,30,7,30,Inc,O,
14046,996/2,"?????????????? ???????
Durgasahasranama stotra",,Stotra,PL,Knn,23x4,10&23,30,7,30,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14047,997,"??????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,23x4,1&73,45,8,45,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ªÀiÁPÁðAqÉÃAiÀÄ ¥ÀÄgÁt¢AzÀ
14048,998,"??????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,18.5x5,1&59,35,8,35,Inc,D/W,
14049,999,"??????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,18x5,16&54,30,10,30,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14050,1000,"??????????????
Devimahatmyam",?????,Mahatmya,PL,Knn,17x5,77&95,25,8,25,Inc,O/D/W,ªÀiÁPÁðAqÉÃAiÀÄ ¥ÀÄgÁt
14051,1001/1,"????????? – ?????????? – ???
Gomateshvara – mamgalabhisheka – jaina",,Stotra,PL,Knn,18x4,16&19,30,5,30,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14052,1001/2,"?????????? – ???
Pushpamjali – jaina",,Pooja,PL,Knn,18x4,19&23,30,5,30,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14053,1001/3,"?????? ?????? – ???
Jayamamgala stuti – jaina",,Stotra,PL,Knn,18x4,23&35,30,5,30,Inc,G/O,"¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ¥Áj±Àé£ÁxÀ, £ÀA¢Ã±ÀégÀ EvÁå¢ ¸ÀÄÛwUÀ¼À ¸ÀAUÀæºÀ"
14054,1002/1,"????? ???????
Aparadha stotra",??????????,Stotra,PL,Knn,16x5,1&7,25,8,25,C,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14055,1002/2,"?????? ???????? ???????
Vishnu sahasranama stotra",?????,Stotra,PL,Knn,16x5,7&1&20,25,8,25,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14056,1003/1,"?????? ??
Navagraha fala",,Jyotisha,PL,Knn,18x4,35&131,45,9,45,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14057,1003/1,"?????? ??
Navagraha fala",,Jyotisha,PL,Knn,18x4,35&131,45,9,45,Inc,G,
14058,1003/2,"???? ??
Karaka fala",,Jyotisha,PL,Knn,18x4,132&136,45,9,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ
14059,1003/3,"???????
Bhagalakshana",,Extra,PL,Knn,18x4,137&138,45,9,45,C,G,
14060,1003/4,"???????? ??
Bhavashraya fala",,Jyotisha,PL,Knn,18x4,138&172,45,9,45,Inc,O,
