Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
598,133/7,????? ?????? ??? – ??????,???????,Mamtra mahatvada kamda – virashaiva,Kavya,PL,Knn,32x5,76&82,8,50,C,G,,,
599,133/8,???? ???? ??? – ??????,???? ???? ?????,Marula devara kamda – virashaiva,Kavya,PL,Knn,32x5,82&85,8,50,C,O,,,
600,133/9,??????? ???? ????? ?????????? ???? - ??????,?????????? ??????,Namaskara gadya mattu pamchaprakarada gadya - virashaiva,Kavya,PL,Knn,32x5,1 Leaf,8,50,Inc,O/D,µÀqï¸ÀÜ® UÀzÀå & CµÉÆÖÃvÀÛgÀ ±ÀvÀ£ÁªÀÄ UÀzÀå,,
601,134,??? ??? ???????? - ??????,????????,Amala basava charitr - virashaiva,Kavya,P,Knn,32x11,1&22,8,40,Inc,G/O,,,
602,134,????????? ????? ???????? ??????? – ??????,,Bhairaveshvara kavya kathasutra ratnakara – virashaiva,Kathe,PL,Knn,34x6,1&210,12,80,Inc,G,gÉÃSÁavÀæUÀ¼ÀÄ,,
603,135,?????????? - ??????,????? ??????,Dikshabodh - virashaiva,Kavya,PL,Knn,32x5,1&36,11,80,C,G/O,,,
604,136,?????????? ????? – ??????,,Chatuhsutri bhashya – virashaiva,Kavya,PL,Knn,42x5.5,1&57,10,106,Inc,O/D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
605,136,???????? ??? – ??????,????????? ??????,Nijacharan vachana – virashaiva,Vacana,P,Knn,34x10.5,1&378,9,35,C,G/O,"±ÀPÀ:1819, «¼ÀA© ¸ÀA. ±ÀÄzÀÕzÀ.15 ±ÀÄPÀæªÁgÀ",,
606,137,????? ??????? ??? ?????? – ??????,,Ella puratanara vachana samgraha – virashaiva,Vacana,PL,Knn,38x6,199,15,120,Inc,G/O,,,
607,138,?????????? - ??????,??????? ???,Ambikavijaya - virashaiva,Kavya,PL,Knn,37x5,1&217,9,65,Inc,O/D,¨ÉÆ§ÆâgÀgÀAUÀ zÉÃ«ªÀiÁºÁvÉäöå ªÀÄºÁ¥Àæ§AzsÀ.,,
608,138,????? ??????? ???????? ??? – ??????,?????? ??????,Surya niralamba shat?sthala vachana – virashaiva,Vacana,P,Knn,32x11,1&195,8,30,C,G/O,§tÚ ºÀ°UÉ,,
609,139,??? ??????? ??? – ??????,,Sakala puratanara vachana – virashaiva,Vacana,PL,Knn,37x5,1&88,16,115,C,G,,,
610,140/1,??????? ???? – ??????,???????????,Nurmdu sthala – virashaiva,Vacana,PL,Knn,41x6,62&160,14,115,Inc,G/O,,,
611,140/2,????? ??????????  – ??????,???????? ?????,Hiriya mamtragopya  – virashaiva,Vacana,PL,Knn,41x6,161&210,14,115,Inc,G/O,,,
612,141,???????? - ??????,??????,Basavapurana - virashaiva,Kavya,PL,Knn,39x6,1&188,10,75,C,G,,,
613,141,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,31x10.5,1&149,10,40,C,G,,,
614,142,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,31x11,1&60,8,40,C,G,,,
615,142,????????????? – ??????,?????? ???????,Vivekachimtamani – virashaiva,Kavya,PL,Knn,31x11,1&60,8,40,C,G,,,
616,142,?????????? ?????? – ??????,???????,Virashaivachara dipika – virashaiva,Tantra-mantra-agama,PL,Knn,39x5,1&146,11,90,Inc,O/D/  OÄ,¸ÀA¸ÀÌøvÀ–PÀ£ÀßqÀnÃPÉ ¹zÀŞzÉÃªÀ¤UÉ G¥ÀzÉÃ²¹zÀÄİ,,
617,143,???????? ????? - ??????,??????????,Raghavamkana kavya - virashaiva,Kavya,PL,Knn,37x5,1&178,7,60,C,G/O,°¦PÁgÀ: PÀj§¸À¥Àà PÁ®: ±À. 1692,,
618,143,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,30x10.5,1&54,9,35,Inc,O/D,,,
619,144,????????????????? - ??????,?????????,Shivadhikyaratnavali - virashaiva,Kavya,PL,Knn,38x5,1&196,10,60,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÉ °¦PÁgÀ: «ÃgÀzÉÃªÀ,,
620,145,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,33x11,1&97,16,60,C,G,"±ÀPÀ. 1780, PÁ®AiÀÄÄPÀÛ ¸ÀA. ªÀiÁWÀ.§. 13 ¸ËªÀÄåªÁgÀ",,
621,145/1,???????? ?????  – ??????,????????????,Bhikshatana kavya  – virashaiva,Kavya,PL,Knn,39x5.5,1&12,11,110,C,G,,,
622,145/2,?????????? ????? - ??????,????????  ??????,Bhairaveshvarana charit - virashaiva,Kavya,PL,Knn,39x5.5,13&42,11,110,C,G,¸ÁAUÀvÀå,,
623,145/3,???????????? - ??????,???????????????,Satyemdrachola - virashaiva,Kavya,PL,Knn,39x5.5,43&67,11,110,C,G,,,
624,145/4,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,39x5.5,68&92,11,110,C,G,,,
625,145/5,???????????? - ??????,????????,Girijakalyana - virashaiva,Kavya,PL,Knn,39x5.5,123&175,11,110,C,G,,,
626,145/6,??????? – ??????,,Svaravachana – virashaiva,Vacana,PL,Knn,39x5.5,1,11,110,Inc,G,±Á.±ÀPÀ. 1723 Qæ.±À. 1801,,
627,145/7,????????? ????? ,,Samudrika vidhana,Jyotisha,PL,Knn,39x5.5,1 Leaf,11,110,Inc,G/O ,gÉÃSÁavÀæUÀ¼ÀÄ,,
628,146,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,31x10.5,3&154,11,45,Inc,O/D/ OÄ,,,
629,146,??? ???????,??????,Yoga ratnakara,Yoga,PL,Knn,37x5,2&22,10,90,Inc,O/D,,,
630,147,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,31x10.5,1&148,11,45,C,O/D/ OÄ,PÀ£ÀßqÀ nÃPÉ,,
631,147/1,????????? – ??????,,Shadvaktaç – virashaiva,Stotra,PL,Knn,38x6,165&166,13,90,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ nÃPÉ: PÀ£ÀßqÀ,,
632,147/1,???????? – ??????,??????? ????? ,Karanahasig – virashaiva,Extra,PL,Knn,38x6,1&21,13,90,Inc,O,,,
633,147/2,?????????? – ??????,???????? ????? ,Mishrarpana – virashaiva,Vacana,PL,Knn,38x6,21&1&34,13,90,C,O,,,
634,147/3,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,38x6,34&37,13,90,C,O,¸ÀA¸ÀÌøvÀ nÃPÉ,,
635,147/4,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,38x6,37&38,13,90,C,G/O,,,
636,147/5,??????? ?????? ???? - ??????,,Ekottara shatasthala tiku - virashaiva,Kavya,PL,Knn,38x6,38&125,13,90,C,O,dPÀÌuÁZÁgÀågÀ £ÀÆgÉÆAzÀÄ ¸ÀÜ®,,
637,147/6,?????????? – ??????,???????? ,Mamtragopya – virashaiva,Vacana,PL,Knn,38x6,125&126,13,90,C,O,,,
638,147/7,???????????? – ??????,???????? ?????,Padamamtragopya – virashaiva,Vacana,PL,Knn,38x6,127&145,13,90,C,G/O,,,
639,147/8,????? ?????????? – ??????,???????? ?????,Hiriya mamtragopya – virashaiva,Vacana,PL,Knn,38x6,145&152,13,90,C,G/O,,,
640,147/9,???????? ????????? – ??????,?????????,Atmalimga samyogasthala – virashaiva,Vacana,PL,Knn,38x6,152&165,13,90,C,G/O,,,
641,148,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,31x10.5,4&131,11,45,Inc,D/W,,,
642,148/1,????????? ??? ??????? ????? – ??????,??????? ????,Shrirudra kavacha stotra mamtra – virashaiva,Stotra,PL,Knn,39x5,1&Leaf,10,80,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
643,148/2,???????????? ??????,??????,Madhvasiddhamta kaumudi,Vyakarana,PL,Knn,39x5,2&50,10,80,Inc,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
644,149,????????? ????? - ??????,,Amrriteshvara bhashya - virashaiva,Kavya,PL,Knn,40x5.5,2&269,12,115,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀnÃPÉ,,
645,149,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,P,Knn,33x10,1&22,10,60,Inc,O,,,
646,150,????? ???????? - ??????,?????????????,Viveka chimtamani - virashaiva,Kavya,P,Knn,34x10,1&18,9,45,Inc,O,,,
647,150/1,??????? ?????? ??????? – ??????,????? ??????????????,Ekottara shatasthala saramrrita – virashaiva,Vacana,PL,Knn,38x6,82&149,11,75,C,G,,,
648,150/1,???????? – ??????,??????? ????? ,Karanahasig – virashaiva,Extra,PL,Knn,38x6,1&6,11,75,C,O,,,
649,150/11,???????? ???????????? ???,????? ??????????????,Shat?sthala jnanasaramrrita vachana,Vacana,PL,Knn,38x6,150&2&71,11,75,C,G,,,
650,150/12,???????? ????? – ??????,,Uddharanya sambandha – virashaiva,Vacana,PL,Knn,38x6,172&294,11,75,C,G,C£Á¢¨sÀPÀÛ ªÉÆzÀ¯ÁzÀ GzÀŞgÀuÉ¥Àl®UÀ¼À ªÀÄÆ® ¸ÀÆvÀæUÀ¼ÀÄ,,
651,150/2,?????????? – ??????,???????? ????? ,Mishrarpana – virashaiva,Vacana,PL,Knn,38x6,6&8,11,75,C,G,,,
652,150/3,??????? ?? – ??????,???? ??????,Pamchikarana pada – virashaiva,Vacana,PL,Knn,38x6,8&11,11,75,C,G,,,
653,150/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,38x6,11&12,11,75,C,G,,,
654,150/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,38x6,12&13,11,75,C,G,,,
655,150/6,??????? ?????? – ??????,??????????,Ekottara shatasthala – virashaiva,Vacana,PL,Knn,38x6,13&39,11,75,C,G,,,
656,150/7,???????????? – ??????,???????? ?????,Padamamtragopya – virashaiva,Vacana,PL,Knn,38x6,40&50,11,75,C,G,,,
657,150/8,????? ?????????? – ??????,???????? ????? ,Hiriya mamtragopya – virashaiva,Vacana,PL,Knn,38x6,51&66,11,75,C,G,,,
658,150/9,?????????? – ??????,???????? ,Mamtragopya – virashaiva,Vacana,PL,Knn,38x6,67&80,11,75,C,G,CxÀğ vÁvÀàAiÀÄğ ¸À»vÀ,,
659,151,??????? ????????? - ??????,??? ??? ???????,Paramartha prakashik - virashaiva,Kavya,P,Knn,32x10.5,1&35,15,55,C,G,"±ÀPÀ.1780, PÁ¼ÀAiÀÄÄPÀÛ ¸ÀA. ªÀiÁWÀ ±ÀÄ. 2 ªÀÄAzÀªÁgÀ",,
660,151/1,???????? – ??????,,Karanahasig – virashaiva,Extra,PL,Knn,42x5.5,1&47,13,110,C,G/O,¸ÀnÃPÀÄ,,
661,151/2,?????????? – ??????,???????? ????? ,Mishrarpana – virashaiva,Vacana,PL,Knn,42x5.5,47&71,13,110,C,G/O,,,
662,151/3,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,PL,Knn,42x5.5,71&76,13,110,C,G/O,,,
663,151/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,42x5.5,76&80,13,110,C,G/O,,,
664,151/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,42x5.5,80&83,13,110,C,G,,,
665,151/6,??????? ?????? - ??????,???????????,Ekottara shatasthala - virashaiva,Kavya,PL,Knn,42x5.5,84&209,13,110,Inc,G/O,¸ÀnÃPÀÄ,,
666,151/7,????? ????? ????? – ??????,??????? ?????,Hiriya mamtra gopya – virashaiva,Kavya,PL,Knn,42x5.5,211&261,13,110,Inc,G/O,,,
667,152,??????? ????????? - ??????,??? ??? ???????,Paramartha prakashik - virashaiva,Kavya,P,Knn,32x10,1&90,8,35,C,G,,,
668,152/1,???????? ?????  – ??????,????????????,Bhikshatana kavya  – virashaiva,Kavya,PL,Knn,52x5,1&8,11,130,C,G,‘¨sÀQÛ’ JAzÀÄ UÀæAxÀzÁ¤AiÀÄ G¯ÉèÃR«zÉ.,,
669,152/2,????? ????????? ????? - ??????,???????? ??????,Sasalu bhairaveshvara kavya - virashaiva,Kavya,PL,Knn,52x5,9&36,11,130,C,G,¸ÁAUÀvÀå,,
670,152/3,????????? ??? - ??????,???????????????,Satyemdra chola - virashaiva,Kavya,PL,Knn,52x5,37&56,11,130,C,G,,,
671,152/4,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,52x5,57&79,11,130,C,G,,,
672,152/5,???????? ???? - ??????,?????? ?????? ?????????,Rajemdra vijaya - virashaiva,Kavya,PL,Knn,52x5,80&110,11,130,C,G,,,
673,152/6,?????? ?????? - ??????,????????,Girija kalyana - virashaiva,Kavya,PL,Knn,52x5,111&152,11,130,C,G,,,
674,153,??????? ????????? - ??????,??? ??? ???????,Paramartha prakashik - virashaiva,Kavya,P,Knn,32x10,1&62,9,45,C,G/O,,,
675,153,??????? ????????? – ??????,?????? ???????,Paramartha prakashik – virashaiva,Kavya,PL,Knn,32x10,1&62,9,45,C,G/O,,,
676,153,?????????,,Shukasaptati,Kathe,PL,Knn,49x5.5,1&152,9,90,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
677,154,?????????? ???????? – ??????,???????????????,Virashrrivamrrita mahapurana – virashaiva,Kavya,PL,Knn,51x5,1&327,11,140,C,O/D/W,°¦PÁgÀ: ¤ªÁğtAiÀÄå,,
678,154/1,????????? – ??????,????????????,Anubhavamrrita – virashaiva,Kavya,P,Knn,32x10,1&68,9,40,C,G,,,
679,154/2,??????? ???? - ??????,?????? ???????,Paramartha git - virashaiva,Geete,P,Knn,32x10,1&32,9,40,Inc,G,,,
680,155,?????????? ???????? – ??????,???????????????,Virashaivamrrita mahapurana – virashaiva,Kavya,PL,Knn,51x5,1&204,11,130,Inc,O/D,,,
681,155,?????? ?????? – ??????,?????? ???????    ,Kaivalya paddhati – virashaiva,Vacana,P,Knn,32x13,1&79,19,65,Inc,O,,,
682,156,?????? ?????? ???? – ??????,?????? ???????,Kaivalya paddhati tiku – virashaiva,Vacana,P,Knn,32x11,1&45,7,50,Inc,G/O,,,
683,156/1,??????? ????? - ??????,?????????,Rajashekhara vilasa - virashaiva,Kavya,PL,Knn,53x5,1&98,8,110,Inc,O/D,,,
684,156/2,???????? ??????,??????? ???????,Siddhamta kaumudi,Vyakarana,PL,Knn,53x5,13 Leaf,8,110,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
685,157,?????? ?????? – ??????,?????? ???????,Kaivalya paddhati – virashaiva,Vacana,P,Knn,32x11,1&50,9,45,C,G,"±ÀPÀ:1780, PÁ®AiÀÄÄQÛ ¸ÀA. ¨sÁzÀæ¥ÀzÀ §. CµÀØ«Ä, UÀÄgÀÄªÁgÀ",,
686,157/1,????? ???????? - ??????,?????? ???????,Viveka chimtamani - virashaiva,Kavya,PL,Knn,51x5,1&85,9,90,C,G,,,
687,157/2,???????? ???? - ??????,?????? ???????,Paramanubhava bodh - virashaiva,Kavya,PL,Knn,51x5,2&29,9,90,Inc,G,,,
688,157/3,????? ??? – ??????,?????? ???????,Anubhava sara – virashaiva,Kavya,PL,Knn,51x5,39&41,9,90,C,G,,,
689,157/4,??????????? – ??????,?????? ???????,Paramarthagit – virashaiva,Geete,PL,Knn,51x5,41&52,9,90,C,G,gÀUÀ¼É – PÀAzÀ,,
690,157/5,??????? ????????? - ??????,?????? ???????,Paramartha prakashik - virashaiva,Kavya,PL,Knn,57x5,52&83,9,90,C,G,AiÉÆÃUÀ&UÀzÀå,,
691,157/6,???????????? - ??????,?????????????,Kaivalyapaddhati - virashaiva,Kavya,PL,Knn,51x5,83&112,9,90,C,G,,,
692,157/7,?????????,,Shrirudra,Vedamantra ,PL,Knn,51x5,1&3,9,90,Inc,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
693,157/7,????????? ,,Shrirudra,Vedamantra ,PL,Knn,51x5,1&3,9,90,Inc,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
694,157/8,??????? ?? – ??????,,Pamchikarana pada – virashaiva,Kavya,PL,Knn,51x5,4&7,9,90,C,G/O,,,
695,158,??????? ?????? – ??????,???????????,Ekottara shatasthala – virashaiva,Vacana,PL,Knn,47x5,50&22,8,85,Inc,O/D,‘£ÁªÀÄ°AUÁ£ÀÄ ±Á¸À£À’ ¤WÀAlÄ&4C¸ÀªÀÄUÀæ ¥ÀvÀæ,,
696,158,?????? ?????? ????????? – ??????,?????? ???????    ,Kaivalya paddhati vyakhyana – virashaiva,Vacana,P,Knn,33x10.5,1&184,9,45,C,G,,,
697,159,?????? ?????? – ??????,?????? ???????    ,Kaivalya paddhati – virashaiva,Vacana,P,Knn,31x10.5,1&205,,,,,,,
698,159/1,??? ???? ????? – ??????,?????????,Shabara shamkara vilasa – virashaiva,Kavya,PL,Knn,41x5,1&23,11,90,C,O,,,
699,159/2,???????????? – ??????,????????,Girijakalyana – virashaiva,Kavya,PL,Knn,41x5,27&82,11,90,C,G,,,
700,159/3,???????????? – ??????,?????? ?????? ?????????,Rajemdravijaya – virashaiva,Kavya,PL,Knn,41x5,83&127,11,90,C,G,,,
701,159/4,???????????? – ??????,?????? ?????????,Bhavachimtaratna – virashaiva,Kavya,PL,Knn,41x5,128&140,11,90,C,G,,,
702,159/5,???????? ????? – ??????,???????? ????,Bhikshatana kavya – virashaiva,Kavya,PL,Knn,41x5,140&148,11,90,C,G,,,
703,159/6,?????????? ????? - ??????,???????? ??????,Bhairaveshvarana kavya - virashaiva,Kavya,PL,Knn,41x5,148&193,11,90,C,G,,,
704,160,??????,?????????????,Ramayana,Kavya,PL,Knn,41x4.5,1&300,7,75,Inc,O/D,,,
705,160/1,??????????? ?????? - ??????,,Shivasiddhamta paddhati - virashaiva,Tantra-mantra-agama,P,Knn,34x10,1&57,10,45,C,G,,,
706,160/2,????? ??? - ??????,?????? ???????,Anubhava sara - virashaiva,Kavya,P,Knn,34x10.5,1&31,9,35,Inc,G,,,
707,160/2,????? ??? – ??????, ?????? ???????,Anubhava sara – virashaiva,Kavya,PL,Knn,34x10.5,1&31,9,35,Inc,G,,,
708,160/3,??????? ???? - ??????,?????? ???????,Paramartha git - virashaiva,Geete,P,Knn,34x10,1&25,9,40,C,G,,,
709,160/4,?????? ?????? – ??????,?????? ???????,Kaivalya paddhati – virashaiva,Vacana,P,Knn,34x10,1&43,9,40,C,G,,,
710,161,??????? ????????? - ??????,?????? ???????,Paramartha prakashik - virashaiva,Kavya,PL,Knn,38x5,149&177,10,100,Inc,O/D/W,,,
711,161,?????? ?????? ???? – ??????,?????? ???????,Kaivalya paddhati tik – virashaiva,Vacana,P,Knn,32x11,1&211,10,45,C,G,"±ÀPÀ.1761, «PÁj ¸ÀA. DµÁqÀ 11, ¸ÉÆÃªÀÄªÁgÀ",,
712,162,?????????????? - ??????,?????? ???????,Prabhudevarapurana - virashaiva,Kavya,PL,Knn,49x6,1&176,11,115,C,O/D,"¥Áæ¸ÀgÀvÁßPÀgÀ, ¹zÀŞgÁªÀÄzÉÃªÀ ¯ÉÃR£À, azÀA§gÉÆÃzÁŞgÀuÉ",,
713,162,?????? ?????? – ??????,?????? ???????,Kaivalya paddhati – virashaiva,Vacana,P,Knn,32x11,7&196,10,50,Inc,D/W,"ªÉÆzÀ® ¥ÀvÀæzÀ°è gÉÃSÁ avÀgÀ«zÉ. ±ÀPÀ:1776, D£ÀAzÀ £ÁªÀÄ ¸ÀA. ¨sÁzÀæ¥ÀzÀ §. 12 EAzÀÄªÁgÀ",,
714,163,?????? ?????? – ??????,?????? ???????,Kaivalya paddhati – virashaiva,Vacana,P,Knn,31x10,1&38,14,55,C,O/D,,,
715,163/1,???????? - ??????,??????,Basavapurana - virashaiva,Kavya,PL,Knn,42x4.5,1&195,10,115,C,G,,,
716,163/2,??????? - ??????,,Basavapavada - virashaiva,Kavya,PL,Knn,42x4.5,1&6,10,115,C,G,§¸ÀªÉÃ±ÀégÀ£À ¥ÀzÁA§ÄdPÉÌ ±ÀgÀtÄ’ JA§ 88 gÀUÀ¼ÉUÀ½ªÉ.,,
717,163/3,????????? ???????? ????? ?????? ???? - ??????,,Basavapuranada shatpamdagala sutra tappida vivara - virashaiva,Extra,PL,Knn,42x4.5,1&2,10,115,Inc,G/O,,,
718,164,???????? ???? – ??????,?????? ???????,Paramanubhava bodh – virashaiva,Kavya,P,Knn,34x11,1&57,11,40,C,O/D,"±ÀPÀ:1763, ¥ÀèªÀ ¸ÀA. D²éd ±ÀÄ.14 UÀÄgÀÄªÁgÀ. C¼ÀªÀÄAr ²æÃ ¹zÀŞ°AUÀ ¸Áé«Ä ªÀÄoÀ",,
719,164/2,?????????????? ????,???????,Namalimganushasana tiku,Nighantu,PL,Knn,35x5,55&130,13,100,Inc,O/D,,,
720,164/3,??????? ??????????? ??????,?????????,Karnataka shabdanushasana vrritti,Vyakarana,PL,Knn,35x5,131&168,13,100,C,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
721,164/4,??? ?????? ????,????? ???,Kavi jihva bamdhana,Chandassu,PL,Knn,35x5,168&176,113,100,C,O/D,PÀ«UÉ C©ü£ÀªÀ PÉÃ²gÁd JA§ E£ÉÆßAzÀÄ ºÉ¸ÀgÀÄ,,
722,164/5,????????,????? ???????,Vastukosha,Nighantu,PL,Knn,35x5,176&177,13,100,Inc,O,C©üzÁ£À ªÀ¸ÀÄÛPÉÆÃ±À,,
723,164/6,???????????,?????? ?????? ?????????,Shabdaratnakara,Nighantu,PL,Knn,35x5,177,13,100,Inc,O,30 PÀAzÀ¥ÀzÀå,,
724,164/7,??????? ???????,????????,Nanartha ratnakara,Nighantu,PL,Knn,35x5,178&182,13,100,C,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
725,165,??????? ????????? - ??????,?????? ???????,Paramartha prakashik - virashaiva,Kavya,P,Knn,33x11,1&35,13,75,C,G,,,
726,165/1,????????? ??? – ??????  ,???????????????,Satyemdra chola – virashaiva  ,Kavya,PL,Knn,40.5x6,125&140,14,85,Inc,O/D,‘¨sÁªÀaAvÁgÀvÀß’,,
727,165/1,??? ??????? ??? - ??????,????????????????,Shiva mahimna shataka - virashaiva,Niti shataka,PL,Knn,,1&5,14,85,Inc,O/D,ZÉ£ÀßªÀÄ¯ÉèÃ±ÀégÀ ±ÀvÀPÀ,,
728,165/2,??????????? ????? – ??????,??????? ???????????,Limgastotra shatpada – virashaiva,Stotra,PL,Knn,40.5x6,6&10,14,85,Inc,O/D,,,
729,165/3,????????? ????? ?????? – ??????,?????? ???????,Prabhudevara purana namdya – virashaiva,Stotra,PL,Knn,40.5x6,11&14,14,85,Inc,O/D,1606,,
730,165/4,??????? ???? ????? – ??????,?????? ?????????,Karnataka shabda mamjari – virashaiva,Nighantu,PL,Knn,40.5x6,14&20,14,85,Inc,G,,,
731,165/5,??????????? - ??????,??????,Abhinavabhidana - virashaiva,Nighantu,PL,Knn,40.5x6,20&52,14,85,C,O/D,‘GzÀİAqÀ µÀlà¢’,,
732,165/6,????? ?????? - ???,?????,Dhananjaya nighamtu - jaina,Nighantu,PL,Knn,40.5x6,53&66,14,85,C,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
733,165/7,??????????????,????????,Nanartharatnakara,Nighantu,PL,Knn,40.5x6,67&84,14,85,Inc,O/D,,,
734,165/8,??????? ??????,??????,Ekakshara nighamtu,Nighantu,PL,Knn,40.5x6,84&91,14,85,Inc,O,,,
735,165/9,????? ???????? ??? ???????? - ??????,???????? ??????,Sasalu bhairavarajana katha sudharnava - virashaiva,Kavya,PL,Knn,40.5x6,92&125,14,85,Inc,O/D,¸ÁAUÀvÀå,,
736,166,??????? ????????? - ??????,?????? ???????,Paramartha prakashik - virashaiva,Kavya,P,Knn,30x14,1&53,10,35,C,G,,,
737,166,???????? – ??????,??????,Basavapurana – virashaiva,Kavya,PL,Knn,37x6,118&132,10,75,Inc,O,,,
738,167,???? ?????????? ,????????????,Devi mahatmyam,Mahatmya,P,Knn,21x11,1&127,10,25,C,O/D,"§tÚzÀ ºÀ°UÉ ±ÀPÀ. 1813& RgÀ ¸ÀA. DµÁqÀ ±ÀÄzÀŞ – 9, UÀÄgÀÄªÁgÀ.",,
739,167/1,??????? ??????? ????? – ??????,???????? ?????,Uddharan srrishtiya mahatva – virashaiva,Tantra-mantra-agama,PL,Knn,39x5.5,1& Leaf,14,115,C,O,1160,,
740,167/1,???????? ?????????????? ??? – ??????,???????? ??????????????,Svatamtra siddhalimgeshvara vachana – virashaiva,Vacana,PL,Knn,39x5.5,12,14,85,C,G,,,
741,167/11,?????????? ??? – ??????,,Limgasavadhana vachana – virashaiva,Vacana,PL,Knn,39x5.5,12&13,14,85,C,G,,,
742,167/12,??????????? ?????? ??????,,Chaturacharyara mathasthala nirnaya,Kavya,PL,Knn,39x5.5,13&14,14,85,C,G,,,
743,167/13,????????????????? ????? ????? - ??????,,Kalashagalttuvudakk heluva mamtra - virashaiva,Extra,PL,Knn,39x5.5,14&15,14,85,C,G,,,
744,167/14,??????????? ????? - ??????,,Kriyasamadhi vachya - virashaiva,Extra,PL,Knn,39x5.5,15&16,14,85,C,O,,,
745,167/15,???????? ??????? ????? – ??????,,Pamchavarnada hittina lakshana – virashaiva,Tantra-mantra-agama,PL,Knn,39x5.5,16 Leaf,14,85,C,O,,,
746,167/16,?????????????? – ??????,,Limganishthasthala – virashaiva,Vacana,PL,Knn,39x5.56,17&18,14,85,C,G,,,
747,167/17,?????? ????????? ????? - ??????,,Shivayoga samadhisthala lakshana - virashaiva,Extra,PL,Knn,39x5.5,18&20,14,85,C,G,,,
748,167/18,??? - ?????????? ????? – ??????,,Agama - limgarpita mamtra – virashaiva,Tantra-mantra-agama,PL,Knn,39x5.5,20 Leaf,14,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
749,167/19,??????????? ???????? ????? – ??????,????? ???????,Gurustotra ashtavarana mahim – virashaiva,Stotra,PL,Knn,39x5.5,20&21,14,85,C,G/O,,,
750,167/2,??????????????? ????????? – ??????,??????? ?????,Hiriyamamtragopya vyakhyana – virashaiva,Kavya,PL,Knn,39x5.5,2 Leaf,14,115,C,G,,,
751,167/2,?????? ??????????? ??? – ??????,??????? ??????,Karasthala nagalimgadevara vachana – virashaiva,Vacana,PL,Knn,39x5.5,21,14,85,C,O,,,
752,167/21,???????? – ??????,,Mamgalacharana – virashaiva,Stotra,PL,Knn,39x5.5,23 Leaf,14,85,C,G,,,
753,167/22,???? ??????? ???????? ?????,,Limga chidamrrita guheshvara vakya,Extra,PL,Knn,39x5.5,24,14,85,C,G/O,,,
754,167/23,???? ????? ????? – ??????,,Shikhara samadhi vachya – virashaiva,Kavya,PL,Knn,39x5.5,24 Leaf,14,85,C,G,,,
755,167/24,??????? ?? - ??????,,Nirguna japa - virashaiva,Extra,PL,Knn,39x5.5,25 Leaf,14,85,C,G,,,
756,167/25,???????? - ??????,???????? ??? ,Gururagal - virashaiva,Ragale,PL,Knn,39x5.5,26&44,14,85,C,G,,,
