SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
7282,1977/9,"??????? ??? ?????
navadurga d?na vidhi?",,pl,N.Na,38x3,28&1&30,Shanti,5,65,C   ,O/D ,
7283,1977/90,"?????????? ??????
uttarab?dra ???ti?",,pl,N.Na,38x3,188&1&189,Shanti,5,65,C   ,G /O,
7284,1977/91,"????? ??????? ??????
r?vat? nak?atra ???ti?",,pl,N.Na,38x3,190&191,Shanti,5,65,C   ,O/D,
7285,1977/92,"??????? ???
sarasvat? ?la?",,pl,N.Na,38x3,192&,Shanti,5,65,C   ,O ,
7286,1977/93,"??????? ??????
vayaspati ???ti?",,pl,N.Na,38x3,193&1,Shanti,5,65,&,&,
7287,1977/94,"???????? ?????? ??????
k?kak?ati prav??a ???ti?",,pl,N.Na,38x3,193&1&194,Shanti,5,65,C   ,O/D,
7288,1977/95,"????? ??????
s?rya ???ti?",,pl,N.Na,38x3,194&197,Shanti,5,65,C   ,G ,
7289,1977/96,"????? ??????
ca?dra ???ti?",,pl,N.Na,38x3,197&200,Shanti,5,65,C   ,O/D,
7290,1977/97,"?????? ??????
a?g?raka ???ti?",,pl,N.Na,38x3,200&203,Shanti,5,65,C   ,G /O,
7291,1977/98,"??? ??????
budha ???ti?",,pl,N.Na,38x3,203&210,Shanti,5,65,C   ,G O,
