SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
2297,346,"???????? ???? ??? ????
??ipa?cam? vrata kath? ??k?",,P,D,22x10.5,1 To 18,Vrata-Katha,11,25,C,GO,"Saka 1763, "
2298,346/1,"?????? ?????
n?si?ha bhuja?ga",Sankaracarya,PL,Tu,37x5,One,Stotra,9,52,C,G,
2299,346/2,"??????? ????????
kar?vala?ba st?tra?",Sankaracarya,PL,Tu,37x5,One,Stotra,9,52,C,G,
2300,346/3,"?????? ?????
nai?adh?ya carita?",Sri Harsa,PL,TU,37x5,52 To 132,Kavya,9,52,Inc.,GO ,
2301,347,"????? ?????????? ????????
ny?ya kusum??jali vy?khy?",,PL,TU,35x4,1 To 184,Nyaya,12,53,Inc.,ODW,
2302,347,"??????? ???????
pu?y?ha pray?ga?",,P,D,16x10,1 To 32, G- Prayoga   ,7,15,C,G,"Saka 1697, Year 1776, Manmathasam, Margasinsamasa krishna Paksa Thritiya Ravivara"
2303,348,"?????????? ???? ??? ????
svar?agaur? vrata kath? ??k?",,P,D,21.5x10.5,1 To 13,Vrata-Katha,9,28,C,G,"Saka 1763, 1842 Bhadra pada masa, "
2304,348/1,"???????? ????
subh??it? ?ataka?",,PL,TU,33x5,1 To 48,Subhashita,10,45,C ,G,
2305,348/2,"?????? ???????
ala?k?ra sa?graha?",Amrtananda yogi,PL,TU,33x5,85 To 133,Alankara,10,45,C,G,
2306,349,"???????? ???? ??? ????
harit??ika vrata kath? ??k?",,P,D,21x10.5,1 To 23,Vrata-Katha,9,28,C,G,"Saka : 1763, 1842 Plva nama Sam, "
2307,349/1,"????????????
brahmapur??a?",Vyasa,PL,Tu,49x6,101 To 187,Purana,14,75,Inc,OD,From : Brahmottara Kanda
2308,349/2,"????? ??????
ska?da pur??a?",Vyasa,PL,Tu,49x6,187 To 1 To 188,Purana,14,75,C,G,Brahma Narada Samvada
2309,349/3,"????? ??????
ska?da pur??a?",Vyasa,PL,Tu,49x6,188 To 215,Purana,14,75,Inc.,G,1-85 Adhyaya Sahyadri Kanda 
2310,349/4,"??????????
padmapur??a?",Vyasa,PL,Tu,49x6,117 To 143,Purana,14,75,Inc,G,From : Puskara Kanda 
2311,350,"?????????? ???? ??? ????
svar?agaur? vrata kath? ??k?",,P,Marati,21x11,1 To 4,Vrata-Katha,9,26,C,G,Script: Devanagari Tika : Kannada
2312,350,"?????????????
v?d??taprakara?a?",,PL,TU,42x4,1 To 92,Jautisha,7,52,Inc.,O,
2313,351,"?? ???
mana b?dha",Ramadasa,P,Mal,17x11.5,1 To 25,Kavya,9,20,C,G,"Sa - 1760, Year - 1839 Vilambi Sam, "
2314,351,"?????? ??????
?gv?da sa?hit?",,PL,TU,38 x 5.5,1 To 147,Samhita,12,53,C,G,IV Astaka
2315,352,"??????????????
s?tum?h?tmya?",,PL,Tu,38x6.5,4 To 56,Purana,12,55,Inc.,GO,From : Skanda Purana 
2316,352,"????????
ma?tras?ra",Nitya Natha,P,Marti,19.5x9,1 To 43,Tantra Mantragama,7,22,C,G,
2317,353,"??????
bh?gavata?",Nitya Natha,PL,Tu,37x5.5,1 To 210,Purana,13,54,Inc.,OD,"I, II, X, XI Skanda"
2318,353,"?????????? ?????
vikram?rka carita?",,P,Marati,21x15.5,1 To 40,Gadya - Katha,15,30,C,DW,"Plva sam Palguna Suddha Astami, "
2319,354/1,"??? ?????
hari vijaya?",,P,Marati,21.5x15.5,1 To 26,Purana,11,24,Inc.,OD,"1-V Adhyaya Saka - 1717, Year - 1796, "
2320,354/1,"??????? ?????
muh?rta darpa?a",Vidya Madhava,PL,TU,37.5x5.5,1 To 154,Jautisha,12,48,C,G ,
2321,354/2,"????????
mah?bh?rata?",Vidya Madhava,P,Mal,21.5x15.5,2Pages,Itihasa,11,24,Inc. ,OD,"Saka : 1717, Year : 1796, Pingala sam, "
2322,354/2,"???????
j?takas?ra",,PL,TU,37.5x5.5,1 To 7,Jautisha,10,40,Inc. ,G,I-II Adyaya
2323,355,"??????? ????????
pra?n? ci?t?ma?i",,P,Mar,12x15.5,1 To 100,Jautisha,11,14,Inc.,ODW,
2324,355/1,"???? ?????????
tarka prad?pik?",Sukamuni,PL,TU,37x4.5,1 To 124,Nyaya,9,82,Inc.,G,Up to III Paricceda
2325,355/2,"???? ??????
?abda nir?aya",,PL,TU,37x4.5,1 To 26,Nyaya,9,82,C,G,
2326,356,"??????? ????????
r?m?ya?a? vy?khy?",,P ,Marati,20x15,1 To 169,Itihasa,12,30,Inc.,O,
2327,356,"?????? ??????
?gv?da sa?hit?",,PL,TU,38 x 6,1 To 169,Samhita,12,64,Inc.,ODW,“
2328,357,"?????????
gurucarita?",Mayura,P,Marati,14x10,1 To 12,Gadya - Katha,6,14,C,G,
2329,357,"?????? ??????
?gv?da sa?hit?",,PL,TU,40x5,1 To 221,Samhita,9,55,C,OD,"V,VI,VII & VIII Astaka"
2330,358,"??? ????
bharata ca?p?",Ananta Bhatta,PL,TU,36x5.5,1 To 67,Campu,11,55,C,G,
2331,358,"?????? ????
h?tik? il?ja",,P,Hindi,17x24,1 To 53,General,18,11,Inc.,O,
2332,359,"???????
bhajanega?u",,P,Hindi,23x15,97Folios,General,9,10,Inc.,OD,
2333,359,"?????? ??????
?gv?da sa?hit?",,PL,TU,48 x 5,1 To 240,Samhita,10,62,C,ODW,
2334,360,"????????
mah?bh?rata?",,PL,Tu,56.5x4,222,Itihasa,8,90,Inc.,ODW,Sabhaparva 
2335,360,"???? ???????? ????
j?taka ca?drik? ??k?",Ananta Rama Suri,P,TU ,15.5x20,1 To 23,Jautisha,19,22,C,OD,
2336,361,"??????????? ??????
brahmas?tra bh??ya?",Vacaspati Misra,PL,TU ,57x5,218Folios,Jautisha,10,108,Inc.,ODW,
2337,361/2,"???????
r?mabhajan?",,P,Te,13x10,18 To 19,General,15,17,C,G,
2338,362,"?????? ???????
vasi??a r?m?ya?a?",Valmiki,PL,Tu,58x5,1 To 132,Itihasa,10,84,Inc.,Go,
2339,362/1,"????? ???
kanakamaya bila",,P,Te,25x20,1,General,20,20,Ine,ODW,
2340,362/10,"???? ??????????
ye? k??in?varalu",,P,Te,25x20,3,General,20,20,C ,OD,
2341,362/11,"??????
caragubama",,P,Te,25x20,3 To 1,General,20,20,C,OD,
2342,362/12,"???????? ????
adivyani m?lu",,P,Te,25x20,3 To 4,General,20,20,C ,OD,
2343,362/13,"????? ?????
citra m?nava?",,P,Te,25x20,4,General,20,20,C,OD,
2344,362/14,"????????
l?lagaiyadi",,P,Te,25x20,3,General,20,20,C,OD,
2345,362/15,"?????????
aduv?ramma",,P,Te,25x20,3 To 4,General,20,20,C ,OD,
2346,362/16,"???????? ????????
kannakalla niriyuni",,P,Te,25x20,5,General,20,20,C,OD,
2347,362/17,"????????? ????
r?dy?lani n??u",,P,Te,25x20,5,General,20,20,C ,OD,
2348,362/18,"???????
magav?dani",,P,Te,25x20,5 To 1,General,20,20,C,OD,
2349,362/19,"???? ????? ??????
m?rava g?p?la nisili",,P,Te,25x20,6,General,20,20,C,ODW,
2350,362/2 ,"???? ?????????
bh?m? r?m??vag?",,P,Te,25x20,1,General,20,20,C ,O,
2351,362/20,"??????? ??????
va?ak?garala daitri",,P,Te,25x20,2,General,20,20,C,OD,
2352,362/21,"?? ????? ?????
ye munira mu?cana",,P,Te,25x20,7,General,20,20,C,OD,
2353,362/22,"??????
v???ru",,P,Te,25x20,7,General,20,20,C,OD,
2354,362/23,"????? ???
yelar? ma?i",,PL,Te,25x20,7,General,20,20,C,OD,
2355,362/24,"????????? ?????
r?maca?dr? niday?",,P,Te,25x20,7,General,20,20,C,OD,
2356,362/25,"???? ??? ????? ??? ??
?r? raghu kaluvara ?ubha tara",,P,Te,25x20,8,General,20,20,C,OD,
2357,362/26,"?????? ??????
ye??u?a cunelu",,P,Te,25x20,8,General,20,20,C ,OD,
2358,362/3,"???????????????????
adut?nuly?runy?ye",,P,Te,25x20,1 To 1,General,20,20,C ,OD,
2359,362/4,"??????????
valavitubhavya",,P,Te,25x20,2,General,20,20,C,OD,
2360,362/5,"????? ????? ??????
murva g?p?la g?mini",,P,Te,25x20,2,General,20,20,C ,OD,
2361,362/6,"?????? ????? ????????????
alutanu vyat? ninnanid?tuna",,P,Te,25x20,2 To 1,General,20,20,C,OD,
2362,362/7,"?????????????
molur?mmanne",,PL,Te,25x20,2 To 1,General,20,20,C ,GO,
2363,362/8,"?? ???? ?????????????
ye ma??u betyerutalumi",,P,Te,25x20,2,General,20,20,C ,OD,
2364,362/9,"????????????
ninatri?pavale",,P,Te,25x20,3,General,20,20,C,OD,
2365,363/1,"????????? ??????
brahm???a pur??a?",,PL,Tu,50x5.5,1 To 44,Purana,14,80,Inc,GO ,
2366,363/1,"??? ??????
g?ha v?stu",,P,Te,13x20,5Leaves,Shilpa,16,10,Ine,OD,
2367,363/2,"??????????
garu?apur??a?",,PL,Tu,50x5.5,111 To ,Purana,14,80,Inc.,G,
2368,363/3,"??????????
li?gapur??a?",,PL,Tu,50x5.5,96 To 125,Purana,14,80,Inc. ,GO,
2369,364,"???? ?????? ?????? ????????
yajña valkya sm?ti vy?khy?",,PL,TU,54.5x5,137Folios,Smriti,12,80,Inc.,ODW,
2370,364,"?????
manab?dha",Ramadasa,P,Marati,15x11,1 To 29,General,10,16,C ,O,
2371,365,"????? ?????
sudh?ma carita?",,P,Marati,16x10,1 To 5,Gadya - Katha,10,20,Ine,O,
2372,365,"?????? ???????
v?d??ta kalpataru",,PL,TU,61x4.5,221,Jautisha,8,85,Inc.,ODW,
2373,366,"??????????????
s?tum?h?tmya?",,PL,Tu,38x4.5,1 To 203,Purana,6,50,C,G ,
2374,366,"??????? ????????
gaj??dra st?tra?",,P,Marati,15x11, To 2,Stotra,12,25,Ine,OD,
2375,367,"??? ????????????
d?sa b?dhan?krama?ika",,P,Marati,33x16.5,1 To 2,Stotra,19,45,Ine,GO,
2376,367/1,"??? ????? ?????
mah? v?kya vivara?a",Sankaracarya ,PL,TU,52x5.5 ,1 To 35,Jautisha,10,68,C,G,
2377,367/2,"??? ????
yati dharma",,PL,TU,52x5.5,36 To 45,Vishistadvaita,10,68,Inc. ,OD,
2378,368,"????????? ????????
?i?up?lavadha vy?khy?",Mallinatha,PL,TU,33x6,12 To 77,Kavya,11,48,Inc.,O,
2379,368,"????????? ???????
gurucarita? up?khya?",Narasimhasarasa,P,Marati,20.5x17,380Folios,Gadya - Katha,15,45,C,G,
2380,369,"?????? ????????
raghuva??a vy?khy?",Makki Bhatta,PL,TU,42x4,1 To 194,Kavya,10,55,Inc.,GO,
2381,370,"??????? ???
pak?atva v?da",,PL,TU,61x5,1 To 98,Nyaya,13,150,Inc.,ODW,
2382,371,"?????????????????? ??????
b?had?ra?y?k?pani?ad bh??ya?",,PL,TU,59x5,125Folios,Upanisat,7,70,Inc.,OD,
2383,372/1,"?????? ?????? ??????
??r?raka m?m??sa bh??ya?",Sankaracarya,PL,TU,48x5 ,1 To 170,Jautisha,11,100,C,ODW,
2384,373,"????? ?????? ????
vivara?a tattva d?pana",Akhandananda Muni,PL,TU ,45x5,135Folios,Jautisha,9,75,Inc.,OD,
2385,374/1,"?????????????????
b?had?ra?yak?pani?at",,PL,Tu,47x5, To ,Upanisat,9,85,C,G,
2386,374/2,"???????? ??????
siddh??ta kaumudi",,PL,TU,47x5,1 To 46,Vyakarana,9,85,Inc.,G,Scribe : Narayana Tunga
2387,375,"????? ?????? ????
vivara?a tattva d?pana",,PL,TU ,35x4.5,1 To 262,Jautisha,9,52,C,G ,
2388,376/1,"???? ????????? ??????
gautama dharmas?tra bh??y?",,PL,TU,34x5,1 To 169,dharmasutra,13,42,C,G,
2389,376/2,"????? ????? ?????? ????????
g?tra pravara nir?aya vy?khy?",??????????,""" ",Tu,34x5,169 To 1 To 188, G- Prayoga   ,13,42,Inc.,G,
2390,376/3,"???????????? (??????)
pr?ya?citta (paddhati)",????????,PL,Tu,34x5,188 To 196, G- Prayoga   ,13,42,C ,G,
2391,376/4,"?????? ???
n?r?ya?a bali",,PL,Tu,34x5,197 To 199, G- Prayoga   ,13,42,C ,G,
2392,376/5,"???????? ??? ??????
k??m???a h?ma pray?ga",,PL,Tu,34x5,199 To 1 To 200, G- Prayoga   ,13,42,C,G,
2393,376/6,"????? ??? ?????
ga?apati h?ma vidhi?",,PL,Tu,34x5,200 To 1 To 203, G- Prayoga   ,13,42,C,G ,
2394,377,"??????????????? ????
n?mali?g?nu??sana? ??k?",,PL,Tu,39.5x5,1 To 73,Nighantu,11,52,Inc.,Go,"Work sanskrit Script : tulu, Tika -"
2395,378/1,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,PL,Tu,39x5,59 To 182,Nighantu,10,50,Inc.,OD,
2396,378/2,"????? ??????
a?g?ra sm?ti",,PL,TU,39x5,184 To 203,Samhita,10,50,C,G,
2397,378/3,"?????? ???
pray?ga s?ra",???????,PL,Tu,39x5,204 To 205, G- Prayoga   ,10,50,C,G,
2398,378/4,"??? ??????? ?????
mah? naiv?dya lak?a?a",,PL,TU,39x5,205 To 207, G- Prayoga   ,10,50,C,G,
2399,378/5,"???????????? ?????
pr?ya?citta vidhi?",,PL,Tu,39x5,207 To 1 To 209, G- Prayoga   ,10,50,C,G,
2400,378/6,"?????? ??????? ????
sa?graha ?r?ddha kalpa",,PL,Tu,39x5,210 To 220, G- Prayoga   ,10,50,C,G,
2401,379,"???????? ????? ?????
??val?yana g?hya s?tra",????????,PL,Tu,30x5.5,92Folios,Grahyasutra,11,52,Inc. ,ODW,
2402,380,"??????????????
tattvaci?t?ma?i",Ganesha,PL,TU,39x4,1 To 58,Nyaya,12,70,Inc.,OD,
2403,381,"?????? ????????
raghuva??a vy?khy?",Mallinatha,PL,TU,30x4.5,1 To 218,Kavya,9,44,Inc.,OD,
2404,381/3,"????????????
accut???aka?",,P,Kan,17x10.5,25,Stotra,8,20,C,G,
2405,381/4,"????????????
g?vi?d???aka?",Sankaracarya,P,Kan,17x10.5,26 To 27,Stotra,8,20,C,G,
2406,381/5,"???????????
g?p?l???aka?",Brahmanand,P,Kan,17x10.5,28 To 29,Stotra,8,20,C,G,
2407,381/9,"????????? ????????
annap?r?a st?tra?",Sankara Caryah,P,Kan,17x10.5,41 To 43,Stotra,8,20,C,G,
2408,382,"???????
r?m?ya?a?",Sankara Caryah,PL,TU,35.5x5,1 To 117,Itihasa,10,48,Inc,G,Sundara Kanda
2409,382,"?????? ??
navagraha japa",,P,Kan,21x17,1 To 31,Tantra Mantragama,,,,,
2410,383,"????? ??????
k?vya prak??a",Mammata,PL,TU,37x3,1 To 139,Alankara,5,54,C,ODW,
2411,383/10,"????????????
g?vi?d???aka?",Mammata,P,Kan,16x21,12 To 13,Stotra,16,20,C,O,
2412,383/11,"????????????? ????????
tripurasu?dari st?tra?",,P,Kan,16x21,13 To 14,Stotra,16,20,C,G,
2413,383/13,"?????????????
k?labairav???aka?",,P,Kan,16x21,14 To 15,Stotra,16,20,C,G,
2414,383/2,"?????????? ????????
ca?dra??khara? st?tra?",,P,Kan,16x21,5.5,Stotra,16,20,C,G,
2415,383/4,"????????????
accut???aka?",,P,Kan,16x21,6 To 7,Stotra,16,20,C,G,
2416,383/8,"?????????
ga?g???aka?",Kalidasa,P,Kan,16x21,10,Stotra,16,20,C,G,
2417,384,"????????
mah?bh?rata?",Kalidasa,PL,Tu,35x4,20Folios,Itihasa,11,68,Inc.,ODW,Santiparva
2418,385,"?????? ??????
?gv?da sa?hit?",,PL,TU,33x4.5,1 To 258,Samhita,9,52,Inc,OD ,"V,VI,VII, VIII Astaka"
2419,386/1,"??????
raghuva??a",Kalidasa,PL,TU,34x5,1 To 97,Kavya,11,40,C,G,
2420,386/2,"??????????
kum?rasa?bhava?",Kalidasa,PL,TU,34x5,98 To 132,Kavya,11,40,Inc.,G ,
2421,386/3,"??????? ????
?y?mal? da??aka",Kalidasa,PL,TU,34x5,1 To 2,Stotra,12,42,C,G,
2422,387,"???? ?????? ?????? ????????
yajña valkya sm?ti vy?khy?",Kalidasa,PL,TU,35.5x5,1 To 168,Smriti,9,50,Inc.,GO ,
2423,388,"??????????????
s?tum?h?tmya?",Kalidasa,PL,Tu,37x5,191 To 294,Purana,11,63,C,O ,""""
2424,389,"??????
bh?gavata?",Kalidasa,PL,Tu,34x4,149 To 283,Purana,10,45,Inc.,O ,"X, XI Skanda"
2425,389,"??????? ????
sadratna m?l?",Sankarvarman,PL,P,TU,16.5x10,Ganita,1&24,10 25,Ine,OD,
2426,390,"????? ??????
ska?da pur??a?",Sankarvarman,PL,Tu,33x4.5,1 To 86,Purana,12,40,Inc.,OD,Sahyadri Kanda 
2427,391,"???????????????
adhy?tmar?m?ya?a?",,PL,Tu,27x5,1 To 133,Itihasa,8,35,Inc.,GO,Upto kiskinda kanda
2428,392,"??????????
padmapur??a?",Vyasa,PL,Tu,35x4.5,30 To 175,Purana,10,46,Inc,O,
2429,393,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,PL,TU,34x5.5,1 To 197,Nighantu,15,45,Inc.,G,
2430,394/1,"??? ??????????
m?gha m?h?tmya?",,PL,Tu,34x5.5,1 To 78,Purana,14,52,C,GO,From : Padma Purana 
2431,394/2,"????? ??????????
vai??kha m?h?tmya?",,PL,Tu,34x5.5,78 To 156,Purana,15,45,C ,G,
2432,394/3,"???? ??????????
k??i m?h?tmya?",,PL,Tu,34x5.5,157 To 230,Purana,15,45,C ,G,From : Brahma Vaivarta purana Virodhi 
2433,395,"??????????? ??????
brahmas?tra bh??ya?",Sankaracarya,PL,TU,51x5,94Folios,Jautisha,12,98,Inc.,ODW,
2434,396,"??????? ??????
muh?rta d?pik?",Vishnu Sarma,PL,TU,34x5,1 To 251,Jautisha,14,64,C,G,
2435,397,"???????? ??????
prakriya kaumudi",Vishnu Sarma,PL,TU,36x4.5,1 To 178,Vyakarana,8,55,Inc.,OD ,
2436,398,"?????????
b?hajj?taka",Varahamihira,PL,TU,53x5,76Folios,Jautisha,9,60,Inc.,OD,
2437,399,"???????? ??????
siddh??ta kaumudi",Varahamihira,PL,TU,34x4.5,1 To 68,Vyakarana,9,36,Inc.,G ,
2438,400,"??? ??????
s?ta sa?hit?",Varahamihira,PL,Tu,33.5x5.5,1 To 191,Purana,12,41,C,GO,From : Skanda purana 
2439,401,"?????????
gurucarita?",,P,D,19.5x14.5,PageMissing,Kavya,12,21,Inc.,G,
2440,401,"?????? ????????
raghuva??a vy?khy?",Makki Bhatta,PL,TU,28.5x4,151 To 239,Kavya,7,40,Inc.,O,
2441,402,"???? ???? ????????
tarka bh??? vy?khy?",,P,D, 29x11.5,34folois,Nyaya,9,40,Inc.,DW,
2442,402/1,"???????? ?????? ????????
siddh??ta kaumudi vy?khy?",,PL,TU,53x5.5,1 To 32,Vyakarana,13,88,Inc.,OD ,
2443,402/2,"??????? ?????????? ?????
vaiy?kara?a paribh????du ??khara?",,PL,TU,53x5.5,1 To 21,Vyakarana,13,88,Inc.,G ,
2444,403,"????????????
vi??upur??a?",,P,D,35x15,1 To 35,Purana,10,55,Inc.,OD ,
2445,403,"???????? ?????? ????????
prakriya kaumudi vy?khy?",Visvakarma,PL,TU,28x5,39 To 269,Vyakarana,12,42,Inc.,O,Up to Karaka
2446,404,"????????? ??????????
hastigiri m?h?tmya?",Visvakarma,P,D,36x15.5,1 To 44,Purana,11,46,C,GO,From : Brahmanda Purana 
2447,404/1,"?????????? ?????
?a?kar?c?rya carita?",,PL,TU,26x6,1 To 28,Kavya,15,28,C,G,
2448,404/2,"?????????
?a?karavijaya?",Anantananda Giri,PL,TU,26x6,1 To 103,Kavya,15,28,C,G,
2449,404/3,"???????????????
n?mali?g?nu??sana?",Anantananda Giri,PL,TU,26x6,1 To 57,Nighantu,15,28,Inc.,GO,
2450,405,"?????? ??????
?gv?da sa?hit?",,PL,TU,39 x 5,1 To 51,Samhita,8,45,Inc.,OD,"V Astaka, 8 Mandala"
2451,405,"????? ??? ???????
agni mukha pray?ga?",,P,D,16x10,1 To 14, G- Prayoga   ,13,20,C,G,Scribe : Datta Bhatta 
2452,406/1,"???????????? ?????? ????
siddhivin?yaka d?rv? p?j?",,P,D,17x11,1 To 9, pooja,13,25,C,G,
2453,406/1,"?????? ?????
nir?aya si?dhu",?????? ????,PL,Tu,31x5,1 To 59, G- Prayoga   ,12,48,Inc.,OD,
2454,406/2,"?????????? ?????
svar?agaur? vrata?",,P,D,17X11,11 To 13,Vrata,13,25,C,G,
2455,406/2,"??????????? ???
sm?ty?rtha s?ra",,PL,TU,31x5,1 To 55,Smriti,12,48,Inc.,OD,
2456,406/3,"?????????? ????
janm???ami p?j?",,P,D,17x11,13 To 16, pooja,13,25,C ,G,
2457,406/3,"?? ?????? ????????
?ata ?l?k? vy?khy?",???????????,PL,Tu,31x5,1 To 109, G- Prayoga   ,12,48,C,OD,
2458,406/4,"?????????????? ????????
k???????ttara st?tra?",,P,D,17x11,16 To 17,Stotra,13,25,C,G,
2459,406/5,"????????? ??? ?????
m?tyu?jaya h?ma vidhi?",,P,D,17x11,17 To 18,Tantra Mantragama,,,,,
2460,407/1,"???????? ?????
??ipa?cam? vrata?",,P,D,17x11,1 To 6,Vrata,12,20,C ,G,
2461,407/1,"??????? ??
?i?up?la vadha",Magha,PL,TU,35x6,1 To 30,Kavya,9,40,Inc.,OD,1 To 7 Sarga
2462,407/2,"???? ????
sam?sa cakra",,PL,TU,35x6,1 To 14,Vyakarana,9,40,Inc.,OD,Citrabanu Sam vaisaka Suddha - 10
2463,407/3,"???????? ????????????
??ipa?cam? vrat?dy?pana?",,P,D,17x11,13 To 14,Vrata,12,20,C,G,
2464,407/5,"?????????? ????
va?as?vitr? p?j?",,P,D,17x11,11 To 17,Vrata,9,20,C,G,
2465,408/1,"??????
raghuva??a",Kalidasa,PL,TU,31x3,1 To 14,Kavya,7,45,Inc.,GO,
2466,408/1,"??????? ??????
?r?va?i nir?aya",,P,D,17x21,1 To 2,Smriti,25,25,C,OD,From: Parasara Smrti
2467,408/2,"?????????????? ?????
a?vatth?dy?pana vidhi?",,P,D,17x21,1 To ,Vrata,27,25,Inc.,OD,
2468,408/2,"??????????
kum?rasa?bhava?",,PL,TU,31x3,43Folios,Kavya,7,45,Inc.,Go,1-8 Sarga
2469,408/3,"????????
m?ghasa?d??a",Kalidasa,PL,TU,31x3,16Folios,Kavya,7,45,C,GO,
2470,408/3,"???? ?????
?r? rudra",,P,D,17x11,1 To 2,Veda - Mantra,9,20,Inc.,OD,
2471,408/4,"?????? ?????? ?????
sa?ka??a arghya ma?tra",,P,D,17x11,1,Vaidya,10,23,C ,O,
2472,408/5,"?????? ???? ?????
sa?dhy? va?dana vidhi?",,P,D,17x10.5,3 To 5, G- Prayoga   ,10,20,Inc. ,OD.,
2473,408/6,"?????????? ?????
satyan?r?ya?a vrata?",,P,D,11x17,1 To 2,Vrata,22,13,Inc. ,OD,
2474,408/8,"???? ???????
sa?di prakara?a?",,P,D,11x17,,Vyakarana,1&2,20,17,Ine,OD
2475,409,"????????? ????????
bhagavadg?t? vy?khy?",,PL,Tu,37x4.5,1 To 102,Gita,10,60,Inc.,O ,
2476,409/1,"??????
nigha??u",,P,D,17x11,1,Nighantu,12,24,Ine,O,
2477,409/2,"??????? ?????
sa?graha? ?l?ka",,P,D,16x10,1,General,15,35,Ine,O,
2478,410,"???????? ?????? ????????
adhy?tma r?m?ya?a vy?khy?", ," """,Tu,25.5x4.5,1 To 117,Itihasa,10,48,Inc.,GO,
2479,410/1,"????? ???????
upanayana pray?ga?",,P,D,10x30,1 To 2, G- Prayoga   ,45,22,C,OD.,
2480,410/2,"??????? ???? ?????
b?lagraha sam?na vidh?na",,P,D,11x17,1,Vaidya,28,18,Ine ,O,
2481,410/3,"??????????
tilak???aka?",,P,D,10x16.5,1Folio,Stotra,25,16,C ,G,
2482,410/5,"??????? (???????)
a??apadi (dvit?ya)",,P,D,16x10,1,Gita,12,35,Ine,G,
2483,410/6,"??? ???? ????
janana karma vi?aya",,P,D,11x16.5,1 To 2, G- Prayoga   ,17,15,Inc.,O,
2484,410/7,"????????? ???
cakravivara?a kal?",,P,D,10x14,1 To 2,Tantra Mantragama,,,,,
2485,410/9,"?????? ??????? ?????
g?kar?a k??tra paricaya",,P,D,11x16,1 To 2,General,21,20,Ine ,OD,
2486,411,"?????? ??????
?gv?da sa?hit?",,PL,TU,25.5.x5,1 To 119,Samhita,12,30,Ine ,ODW,VII & VIII Astaka
2487,411/1,"??????? ???? ??????????
sa?k??pa d?v? m?h?tmya?",,P,D,16x10,1 To 2,Purana,13,25,C ,G,
2488,411/2,"????? ???????
?l?ka sa?graha?",,P,D,15.5x11,1 To 3,Itihasa,11,25,Ine,O,
2489,412,"??????
raghuva??a",Kalidasa,PL,TU,24.5x3.5,1 To 127,Kavya,8,32,C,G ,
2490,412/1,"???????? ????????
cara?avy?ha vy?khy?",,P,D,14.5x10,1 To 2,Vedanga,20,35,C,G.,
2491,412/2,"??? ?????? ?????
bh?ta ?uddhi vidhi?",,P,D,14x9,2Folios,Tantra Mantragama,,,,,
2492,412/3,"???? ????????
garu?a mah?ma?tra",,P,D,14x9,1 To 2,Tantra Mantragama,,,,,
2493,413,"????? ??????
bha??i k?vya?",Bhatti,PL,TU,27x5,1 To 60,Kavya,11,44,C,GO,
2494,413/1,"?????? ???? ?????
brahma yajña vidhi?",,P,D,15x10,1 To 5, G- Prayoga   ,13,22,Inc.,OD.,
2495,413/2,"??????? ?????
sa?graha? ?l?ka",,P,D,15x10,1 To 2,General,10,20,Ine,O,
2496,413/3,"??????? ????????
g?yatr? vy?khy?",,P,D,13x10,1,Smriti,16,20,C,G,
2497,413/4,"???????????????? ????????
k?rtav?ry?rjuna st?tra?",,P,D,15x9.5,1,Stotra,12,25,C ,GO,Saka: 1738 Year: 1816 Hemanta 
2498,413/5,"?????????? ???????????? 
ca?dr?par?ga pr?ya?citta ",,P,D ,14.5x31,1, G- Prayoga   ,36,20,Inc.,OD.,
2499,413/7,"????? ??????? ?????
s?rya namask?ra vidhi?",,P,D,21x15.5,1 To , G- Prayoga   ,25,25,Inc.,O,
2500,413/8,"??? ???
gau?a pa?tha",,P,D,21x15.5,1,General,23,20,Ine,OD,
2501,414,"?????? ???????
tr??aka v?tti?",Totakacarya,P,D,17x10.5,1 To 19,Chanda,9,24,C,GO,From: Shurthi Sara
2502,414/1,"???????? ??????
siddh??ta kaumudi",Totakacarya,PL,TU,27x4,1 To 42,Vyakarana,10,52,Inc.,GO,
2503,414/2,"???????? ??????
siddh??ta kaumudi",Totakacarya,PL,TU,27x4,1 To 42,Vyakarana,10,52,Inc.,GO,
2504,415/1,"???????? ??????
siddh??ta kaumudi",Anantacarya,TU,TU,28.5x5,1 To 73,Vyakarana,10,40,Inc.,O,
2505,415/10,"???? ?????
?r? s?kta",,P,D,15x10,1 To 6,Veda - Mantra,7,15,C,OD,
2506,415/2,"??????????????? ????
n?mali?g?nu??sana? ??k?",,PL,Tu,28.5x5,1 To 84,Nighantu,12,45,Inc.,Go,
2507,415/5,"????? ????????????
atharva ?ir??pani?at",,P,D,15x10.5,1 To 4,Upanisat,10,15,C,O.,
2508,415/6,"??????? ??? ?????? ?????
g?yatr? ??pa vim?cana ma?tra",,P,D,15.5x10.5,3 To 8,Tantra Mantragama,,,,,
2509,415/7,"??????????????? ?????
pr???gnih?tra vidhi?",,P,D,15x10,1 To 6, G- Prayoga   ,10,15,Inc.,Go.,
2510,415/8,"?????? ????? ????????
??am?cana ga?apati st?tra?",,P,D,15.5x10,1,Stotra,9,20,C,Go,From: Skandapurana
